Timestamp,HT R Phase Current,Current_Winsorized,Current_Imputed,Current_Smooth
2019-07-31 05:20:00,0.09,0.0,0.09,0.09
2019-07-31 05:25:00,0.09,0.0,0.09,0.09
2019-07-31 05:30:00,0.09,0.0,0.09,0.09
2019-07-31 05:35:00,0.09,0.0,0.09,0.09
2019-07-31 05:40:00,0.09,0.0,0.09,0.09
2019-07-31 05:45:00,0.09,0.0,0.09,0.09
2019-07-31 05:50:00,0.14,0.0,0.14,0.1
2019-07-31 05:55:00,0.62,0.0,0.62,0.20600000000000002
2019-07-31 06:00:00,0.69,0.0,0.69,0.32599999999999996
2019-07-31 06:05:00,0.75,0.0,0.75,0.458
2019-07-31 06:10:00,0.97,0.0,0.97,0.634
2019-07-31 06:15:00,1.42,0.0,1.42,0.8899999999999999
2019-07-31 06:20:00,2.55,0.0,2.55,1.2759999999999998
2019-07-31 06:25:00,3.03,0.0,3.03,1.7439999999999998
2019-07-31 06:30:00,3.82,0.0,3.82,2.3579999999999997
2019-07-31 06:35:00,4.82,0.0,4.82,3.1279999999999997
2019-07-31 06:40:00,5.7,0.0,5.7,3.9839999999999995
2019-07-31 06:45:00,6.5,0.0,6.5,4.773999999999999
2019-07-31 06:50:00,7.42,0.0,7.42,5.652
2019-07-31 06:55:00,8.39,0.0,8.39,6.566
2019-07-31 07:00:00,9.37,0.0,9.37,7.476000000000001
2019-07-31 07:05:00,10.49,0.0,10.49,8.434000000000001
2019-07-31 07:10:00,11.53,0.0,11.53,9.440000000000001
2019-07-31 07:15:00,13.88,0.0,13.88,10.732
2019-07-31 07:20:00,18.94,0.0,18.94,12.842000000000002
2019-07-31 07:25:00,27.83,0.0,27.83,16.534
2019-07-31 07:30:00,29.71,0.0,29.71,20.378000000000004
2019-07-31 07:35:00,49.35,0.0,49.35,27.942
2019-07-31 07:40:00,68.25,0.0,68.25,38.815999999999995
2019-07-31 07:45:00,58.68,0.0,58.68,46.763999999999996
2019-07-31 07:50:00,30.68,0.0,30.68,47.334
2019-07-31 07:55:00,33.05,0.0,33.05,48.001999999999995
2019-07-31 08:00:00,44.5,0.0,44.5,47.032
2019-07-31 08:05:00,33.94,0.0,33.94,40.169999999999995
2019-07-31 08:10:00,31.61,0.0,31.61,34.756
2019-07-31 08:15:00,26.47,0.0,26.47,33.914
2019-07-31 08:20:00,26.45,0.0,26.45,32.593999999999994
2019-07-31 08:25:00,25.02,0.0,25.02,28.698
2019-07-31 08:30:00,32.49,0.0,32.49,28.407999999999998
2019-07-31 08:35:00,42.39,0.0,42.39,30.564
2019-07-31 08:40:00,51.67,0.0,51.67,35.604
2019-07-31 08:45:00,47.63,0.0,47.63,39.84
2019-07-31 08:50:00,62.42,0.0,62.42,47.32000000000001
2019-07-31 08:55:00,50.29,0.0,50.29,50.88
2019-07-31 09:00:00,50.25,0.0,50.25,52.452
2019-07-31 09:05:00,50.49,0.0,50.49,52.215999999999994
2019-07-31 09:10:00,61.38,0.0,61.38,54.965999999999994
2019-07-31 09:15:00,60.23,0.0,60.23,54.528
2019-07-31 09:20:00,62.94,0.0,62.94,57.05799999999999
2019-07-31 09:25:00,63.0,0.0,63.0,59.60799999999999
2019-07-31 09:30:00,70.78,0.0,70.78,63.666
2019-07-31 09:35:00,61.69,0.0,61.69,63.727999999999994
2019-07-31 09:40:00,63.95,0.0,63.95,64.472
2019-07-31 09:45:00,75.43,0.0,75.43,66.97
2019-07-31 09:50:00,90.05,0.0,90.05,72.38000000000001
2019-07-31 09:55:00,89.93,0.0,89.93,76.21000000000001
2019-07-31 10:00:00,68.1,0.0,68.1,77.492
2019-07-31 10:05:00,88.48,0.0,88.48,82.398
2019-07-31 10:10:00,62.76,0.0,62.76,79.864
2019-07-31 10:15:00,35.14,0.0,35.14,68.882
2019-07-31 10:20:00,46.32,0.0,46.32,60.160000000000004
2019-07-31 10:25:00,54.7,0.0,54.7,57.48
2019-07-31 10:30:00,81.96,0.0,81.96,56.176
2019-07-31 10:35:00,92.39,0.0,92.39,62.102
2019-07-31 10:40:00,75.4,0.0,75.4,70.154
2019-07-31 10:45:00,79.2,0.0,79.2,76.73
2019-07-31 10:50:00,82.72,0.0,82.72,82.334
2019-07-31 10:55:00,63.25,0.0,63.25,78.592
2019-07-31 11:00:00,79.63,0.0,79.63,76.03999999999999
2019-07-31 11:05:00,76.43,0.0,76.43,76.246
2019-07-31 11:10:00,61.16,0.0,61.16,72.638
2019-07-31 11:15:00,67.81,0.0,67.81,69.656
2019-07-31 11:20:00,62.73,0.0,62.73,69.55199999999999
2019-07-31 11:25:00,47.14,0.0,47.14,63.05400000000001
2019-07-31 11:30:00,71.91,0.0,71.91,62.15
2019-07-31 11:35:00,96.6,0.0,96.6,69.23799999999999
2019-07-31 11:40:00,82.81,0.0,82.81,72.23799999999999
2019-07-31 11:45:00,50.63,0.0,50.63,69.81800000000001
2019-07-31 11:50:00,49.75,0.0,49.75,70.34
2019-07-31 11:55:00,63.65,0.0,63.65,68.688
2019-07-31 12:00:00,79.04,0.0,79.04,65.176
2019-07-31 12:05:00,78.43,0.0,78.43,64.3
2019-07-31 12:10:00,90.2,0.0,90.2,72.21400000000001
2019-07-31 12:15:00,89.05,0.0,89.05,80.074
2019-07-31 12:20:00,88.95,0.0,88.95,85.13400000000001
2019-07-31 12:25:00,83.92,0.0,83.92,86.11
2019-07-31 12:30:00,80.75,0.0,80.75,86.574
2019-07-31 12:35:00,89.95,0.0,89.95,86.524
2019-07-31 12:40:00,86.24,0.0,86.24,85.962
2019-07-31 12:45:00,85.71,0.0,85.71,85.31400000000001
2019-07-31 12:50:00,82.1,0.0,82.1,84.95
2019-07-31 12:55:00,76.21,0.0,76.21,84.042
2019-07-31 13:00:00,86.2,0.0,86.2,83.292
2019-07-31 13:05:00,91.13,0.0,91.13,84.27000000000001
2019-07-31 13:10:00,80.08,0.0,80.08,83.14399999999999
2019-07-31 13:15:00,90.02,0.0,90.02,84.728
2019-07-31 13:20:00,85.61,0.0,85.61,86.608
2019-07-31 13:25:00,50.65,0.0,50.65,79.498
2019-07-31 13:30:00,0.0,0.0,0.0,61.272000000000006
2019-07-31 13:35:00,69.24,0.0,69.24,59.104
2019-07-31 13:40:00,77.82,0.0,77.82,56.664
2019-07-31 13:45:00,83.9,0.0,83.9,56.322
2019-07-31 13:50:00,91.54,0.0,91.54,64.5
2019-07-31 13:55:00,37.02,0.0,37.02,71.90400000000001
2019-07-31 14:00:00,50.84,0.0,50.84,68.224
2019-07-31 14:05:00,48.18,0.0,48.18,62.29600000000001
2019-07-31 14:10:00,86.73,0.0,86.73,62.862
